Time Difference ch2-ch1,Time Difference ch3-ch1,Time Difference ch4-ch1,Time Difference ch3-ch2,Time Difference ch4-ch2,Time Difference ch4-ch3
5.0,12.5,8.8,5.0,-1.3,-3.8
1.3,13.8,5.0,8.8,-5.0,-6.3
1.3,7.5,8.7,3.8,7.5,-6.3
3.7,10.0,5.0,-1.3,2.5,-5.0
7.5,11.2,10.0,5.0,2.5,-1.2
3.7,1.3,6.3,-2.5,2.5,-6.3
3.7,12.5,1.2,7.5,3.8,-7.5
2.5,8.7,3.8,1.3,-1.3,-2.5
2.5,15.0,10.0,5.0,7.5,-5.0
10.0,8.8,8.8,8.8,-6.3,2.5
3.7,8.7,6.3,8.8,0.0,-2.5
6.3,10.0,7.5,1.3,10.0,-7.5
5.0,15.0,5.0,10.0,6.2,-2.5
3.7,15.0,6.2,5.0,5.0,-6.3
5.0,11.2,3.8,2.5,-1.2,-6.2
5.0,8.7,12.5,5.0,0.0,-2.5
3.7,6.2,6.3,3.8,1.3,-8.7
6.2,8.7,7.6,3.8,0.0,-1.2
